All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Altria Group Inc.;MO;Tobacco;45;29;Y;Y;48.34;4.30;0.4800;0.5200;8.33;9-11-14;9-15-14;10-10-14;A10;;2.08;95.85;364.3 ;22.28;12;2.17;2.92;3.93;21.77;103.80;9.7 ;7.7 ;8.8 ;7.6 ;15 ;95,880;0.2;3.18;1.046;0.810 ;7.8;8.2;9.2;11.4;1.800;;1.670;1.550;;1.420;1.300;1.159;0.857;0.771;0.711;0.655;0.613;0.567;0.516;0.469;0.427;14.485;7.8;7.7;9.2;9.2;12.2;35.2;11.1;8.5;8.5;6.8;8.2;9.9;9.9;9.8;11.0;6.8;Consumer Staples;(8.8);13.5 ;65.3;1.97;2.13;2.29;2.46;2.65;11.50;23.8;0.50 ;48.3 ;0.8 ;7.5 ;20.7 
American Electric Power Co.;AEP;Utility-Electric;5;561;N;N;58.34;3.63;0.5000;0.5300;6.00;11-6-14;11-10-14;12-10-14;C10;;2.12;57.92;9.4 ;15.94;12;3.66;3.20;1.70;1.69;10.90;16.9 ;2.6 ;(2.2);5.0 ;23 ;28,542;0.1;1.15;n/a;2.092 ;3.7;4.5;3.5;1.7 ;1.950;;1.880;1.850;;1.710;1.640;1.640;1.580;1.500;1.420;1.400;1.650;2.400;2.400;2.400;2.400;27.820;3.7;1.6;8.2;4.3;0.0;3.8;5.3;5.6;1.4;0.0;0.0;0.0;0.0;0.0;2.4;2.6;Utilities;(8.8);7.2 ;48.9;2.15;2.20;2.31;2.42;2.55;11.63;19.9;0.40 ;32.9 ;0.1 ;8.6 ;13.3 
American Equity Investment Life Holding Co.;AEL;Insurance;10;308;-;-;25.81;0.70;0.1500;0.1800;20.00;11-27-13;12-2-13;12-16-13;Dec;Div-Annual;0.18;10.65;(17.6);15.27;12;1.69;1.53;0.76;1.00;8.40;279.8 ;11.9 ;62.3 ;10.0 ;6 ;1,931;1.3;0.38;0.334;0.620 ;20.0;21.6;20.8;33.5 ;0.180;;0.150;0.120;;0.100;0.080;0.070;0.060;0.050;0.040;0.020;0.010;0.010;0.010;0.010;0.010;0.920;20.0;25.0;20.0;25.0;14.3;16.7;20.0;25.0;100.0;100.0;0.0;0.0;0.0;0.0;26.1;31.6;Financials;6.2 ;21.5 ;78.6;0.20;0.22;0.24;0.26;0.29;1.21;4.7;1.67 ;37.0 ;(2.5);9.3 ;11.5 
American Financial Group Inc.;AFG;Insurance;9;366;-;-;59.83;1.67;0.2200;0.2500;13.64;10-13-14;10-15-14;10-27-14;A27;;1.00;20.28;(23.7);12.14;12;4.93;1.52;0.99;1.08;9.50;1.4 ;10.9 ;25.2 ;8.0 ;6 ;5,338;0.3;0.18;0.397;1.084 ;11.8;11.9;10.0;9.2 ;0.805;;0.720;0.663;;0.575;0.520;0.500;0.400;0.368;0.333;0.333;0.333;0.333;0.667;0.667;0.667;7.884;11.8;8.7;15.2;10.6;4.0;25.0;8.7;10.4;0.0;0.0;0.0;0.0;0.0;0.0;6.7;7.3;Financials;(0.5);11.7 ;69.7;0.82;0.90;0.97;1.05;1.13;4.86;8.1;0.80 ;14.5 ;(0.9);2.6 ;4.3 
American States Water;AWR;Utility-Water;60;1;N;N;35.78;2.38;0.2025;0.2130;5.19;8-13-14;8-15-14;9-2-14;C02;;0.85;56.42;71.7 ;23.70;12;1.51;23.70;3.02;2.80;12.00;14.2 ;6.7 ;16.8 ;1.0 ;5 ;1,385;0.6;0.67;0.520;1.555 ;19.7;13.5;8.7;5.6;0.760;;0.635;0.550;;0.520;0.505;0.500;0.478;0.465;0.450;0.443;0.440;0.436;0.433;0.428;0.427;7.469;19.7;15.5;5.8;3.0;1.0;4.7;2.7;3.3;1.7;0.6;1.0;0.5;1.2;0.4;4.4;5.7;Utilities;(12.6);11.1 ;63.4;0.84;0.89;0.90;0.91;0.92;4.46;12.5;0.71 ;36.8 ;(0.4);11.6 ;16.9 
American Water Works;AWK;Utility-Water;7;412;Y;Y;53.37;2.32;0.2800;0.3100;10.71;5-8-14;5-12-14;6-2-14;C02;;1.24;57.41;46.7 ;24.71;12;2.16;3.05;3.21;1.96;8.10;(2.4);7.6 ;20.9 ;8.1 ;14 ;9,561;0.2;1.22;1.062;n/a;13.5;8.2;22.2;n/a;1.090;#;0.960;0.900;;0.860;0.820;0.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.030;13.5;6.7;4.7;4.9;105.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;26.7;Utilities;(0.2);24.5 ;56.3;1.10;1.19;1.28;1.38;1.50;6.45;12.1;0.35 ;34.9 ;0.5 ;7.3 ;14.2 
AmeriGas Partners LP;APU;MLP-Propane;10;320;-;-;46.15;7.63;0.8400;0.8800;4.76;5-7-14;5-9-14;5-19-14;B19;;3.52;141.94;56.7 ;18.61;12;2.48;3.15;1.16;2.97;23.10;21.4 ;(4.6);(4.8);5.9 ;7 ;4,286;30.4;1.66;n/a;1.330 ;5.0;6.0;5.6;4.2 ;3.320;;3.163;2.925;;2.785;2.650;2.530;2.410;2.300;2.230;2.200;2.200;2.200;2.200;2.200;2.200;37.513;5.0;8.1;5.0;5.1;4.7;5.0;4.8;3.1;1.4;0.0;0.0;0.0;0.0;0.0;3.0;2.6;Utilities;(5.4);13.2 ;42.6;3.65;3.69;3.91;4.14;4.38;19.76;42.8;0.34 ;17.4 ;(2.7);1.2 ;5.5 
Ameriprise Financial Inc.;AMP;Financial Services;10;321;Y;Y;126.17;1.84;0.5200;0.5800;11.54;5-7-14;5-9-14;5-23-14;B23;;2.32;32.00;49.2 ;17.40;12;7.25;1.13;1.99;2.88;17.40;39.5 ;14.2 ;109.1 ;15.4 ;13 ;23,619;0.3;1.98;0.229;n/a;40.6;41.5;24.9;n/a;2.010;;1.430;0.870;;0.710;0.680;0.660;0.560;0.440;0.110;0.000;0.000;0.000;0.000;0.000;0.000;7.470;40.6;64.4;22.5;4.4;3.0;17.9;27.3;300.0;0.0;0.0;0.0;0.0;0.0;0.0;34.3;76.0;Financials;9.4 ;26.8 ;72.1;2.21;2.43;2.68;2.94;3.24;13.50;10.7;1.67 ;28.4 ;(1.8);3.8 ;10.3 
AmerisourceBergen Corp.;ABC;Drugs;9;351;-;-;85.41;1.10;0.2100;0.2350;11.90;11-14-13;11-18-13;12-2-13;C02;;0.94;83.93;473.7 ;76.26;9;1.12;5.09;0.17;9.71;11.90;(29.1);12.0 ;7.8 ;15.0 ;16 ;19,164;0.2;1.00;5.091;0.934 ;44.2;36.5;39.7;42.5 ;0.865;;0.600;0.460;;0.340;0.240;0.163;0.113;0.063;0.031;0.025;0.025;0.025;0.006;0.000;0.000;2.955;44.2;30.4;35.3;41.7;47.7;44.4;80.0;100.0;25.0;0.0;0.0;300.0;0.0;0.0;53.5;74.2;Health Care;(35.4);40.8 ;54.8;0.87;0.96;1.06;1.16;1.28;5.33;6.2;0.67 ;37.4 ;0.3 ;10.4 ;19.7 
Ametek Inc.;AME;Technology-Hardware;5;511;Y;Y;52.15;0.69;0.0600;0.0900;50.00;6-12-14;6-16-14;6-30-14;C30;;0.36;16.07;96.7 ;23.28;12;2.24;1.55;3.37;3.74;17.40;11.7 ;11.9 ;15.5 ;15.0 ;12 ;12,817;1.1;0.47;1.136;0.837 ;9.1;26.0;17.6;21.0 ;0.240;;0.220;0.160;;0.120;0.107;0.107;0.107;0.080;0.071;0.071;0.036;0.036;0.036;0.036;0.027;1.451;9.1;37.5;33.3;12.5;0.0;0.0;33.3;12.5;0.0;100.0;0.0;0.0;0.0;33.3;19.4;26.5;Information Tech;(5.0);18.3 ;72.5;0.26;0.29;0.32;0.35;0.39;1.61;3.1;1.21 ;15.6 ;(4.0);2.4 ;1.0 
AmTrust Financial Services Inc.;AFSI;Financial Services;9;357;-;-;44.87;1.78;0.1400;0.2000;42.86;3-28-14;4-1-14;4-14-14;A14;;0.80;19.23;0.6 ;10.79;12;4.16;0.72;1.00;2.11;23.30;56.8 ;8.8 ;24.2 ;15.0 ;8 ;3,393;14.2;0.45;1.135;n/a;39.5;28.4;27.5;n/a;0.473;#;0.339;0.273;;0.223;0.182;0.140;0.074;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.704;39.5;24.2;22.2;22.7;29.4;88.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.2;24.3;Financials;18.5 ;29.2 ;71.7;0.52;0.57;0.62;0.68;0.75;3.14;7.0;0.66 ;64.0 ;(16.1);4.3 ;12.0 
Analog Devices Inc.;ADI;Technology-Hardware;12;240;-;-;49.62;2.98;0.3400;0.3700;8.82;2-26-14;2-28-14;3-11-14;C11;;1.48;65.20;73.8 ;21.86;10;2.27;1.81;5.71;3.11;18.00;0.5 ;18.6 ;3.9 ;12.1 ;30 ;15,591;0.3;0.57;3.016;0.278 ;13.3;16.5;11.8;42.3 ;1.360;;1.200;0.970;;0.860;0.800;0.780;0.720;0.600;0.360;0.220;0.040;0.000;0.000;0.000;0.000;7.910;13.3;23.7;12.8;7.5;2.6;8.3;20.0;66.7;63.6;450.0;0.0;0.0;0.0;0.0;47.8;113.5;Information Tech;(7.1);14.7 ;64.8;1.37;1.50;1.65;1.82;2.00;8.34;16.8;1.22 ;16.6 ;(11.0);2.5 ;(1.8)
Andersons Inc. (The);ANDE;Agriculture;12;236;N;Y;63.73;0.69;0.1067;0.1100;3.13;12-30-13;1-2-14;1-23-14;A23;;0.44;13.25;41.9 ;19.20;12;3.32;1.71;0.36;2.36;16.10;(49.9);8.6 ;12.2 ;11.2 ;7 ;1,810;3.6;0.55;1.190;0.907 ;6.7;21.4;14.5;16.0 ;0.427;;0.400;0.293;;0.238;0.232;0.217;0.147;0.118;0.110;0.103;0.097;0.087;0.087;0.080;0.067;2.702;6.7;36.4;23.1;2.9;6.9;47.7;23.9;7.6;6.5;6.9;11.5;0.0;8.3;20.0;14.9;13.2;Consumer Staples;(4.0);15.2 ;70.1;0.43;0.47;0.51;0.57;0.62;2.60;4.1;0.95 ;43.2 ;(8.7);0.9 ;11.0 
Applied Industrial Technologies Inc.;AIT;Industrial Equipment;5;462;N;Y;48.81;2.05;0.2300;0.2500;8.70;2-12-14;2-14-14;2-28-14;B28;;1.00;37.45;43.7 ;18.28;6;2.67;1.35;0.82;2.54;14.40;(4.0);12.6 ;21.9 ;13.5 ;11 ;2,025;1.6;0.21;0.408;0.567 ;9.5;12.9;8.9;15.7 ;0.920;;0.840;0.740;;0.640;0.600;0.600;0.540;0.460;0.340;0.230;0.213;0.213;0.213;0.213;0.213;6.977;9.5;13.5;15.6;6.7;0.0;11.1;17.4;35.3;47.8;7.8;0.0;0.0;0.0;0.0;11.8;13.7;Industrials;(7.3);11.0 ;69.3;0.93;1.02;1.12;1.24;1.36;5.67;11.6;1.26 ;10.9 ;(6.8);3.5 ;1.3 
Applied Materials Inc.;AMAT;Technology-Hardware;5;446;-;-;22.09;1.81;0.0900;0.1000;11.11;5-21-13;5-23-13;6-13-13;C13;2014=Year 5;0.40;49.38;106.0 ;27.27;10;0.81;2.25;3.06;3.50;13.60;133.3 ;27.5 ;(21.4);12.1 ;21 ;26,914;0.3;0.25;n/a;n/a;11.4;13.0;10.2;n/a;0.390;;0.350;0.310;;0.270;0.240;0.240;0.230;0.180;0.090;0.000;0.000;0.000;0.000;0.000;0.000;2.300;11.4;12.9;14.8;12.5;0.0;4.3;27.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;13.1;25.4;Information Tech;(15.3);12.0 ;63.7;0.43;0.47;0.52;0.57;0.63;2.62;11.9;1.65 ;36.7 ;(5.4);2.6 ;8.4 
AptarGroup Inc.;ATR;Packaging;21;134;-;-;62.24;1.80;0.2500;0.2800;12.00;4-28-14;4-30-14;5-21-14;B21;;1.12;41.33;64.8 ;22.97;12;2.71;2.47;1.56;2.66;12.30;5.9 ;11.8 ;2.9 ;9.3 ;13 ;4,057;1.7;0.37;4.240;0.532 ;13.6;14.9;12.3;23.1 ;1.000;;0.880;0.800;;0.660;0.600;0.560;0.500;0.420;0.350;0.220;0.125;0.120;0.110;0.100;0.090;6.535;13.6;10.0;21.2;10.0;7.1;12.0;19.0;20.0;59.1;76.0;4.2;9.1;10.0;11.1;20.2;20.2;Materials;(8.9);14.1 ;72.5;1.06;1.16;1.27;1.39;1.52;6.41;10.3;0.92 ;12.0 ;(8.4);1.3 ;(2.8)
Aqua America Inc.;WTR;Utility-Water;23;111;N;N;26.20;2.52;0.1520;0.1650;8.55;8-13-14;8-15-14;9-1-14;C01;;0.66;56.41;70.5 ;22.39;12;1.17;5.60;6.02;2.92;14.60;10.5 ;5.8 ;14.9 ;4.0 ;12 ;4,642;0.3;1.03;0.499;0.944 ;9.0;7.4;7.4;7.9 ;0.584;;0.536;0.504;;0.472;0.440;0.408;0.384;0.355;0.320;0.294;0.274;0.258;0.242;0.225;0.204;5.500;9.0;6.3;6.8;7.3;7.8;6.3;8.2;11.1;8.7;7.5;6.0;6.5;7.4;10.3;7.8;1.5;Utilities;(12.4);10.0 ;60.5;0.64;0.68;0.71;0.73;0.76;3.53;13.5;0.49 ;19.2 ;(0.7);7.5 ;7.2 
Archer Daniels Midland;ADM;Agriculture;39;58;N;Y;47.00;2.04;0.1900;0.2400;26.32;2-18-14;2-20-14;3-13-14;C13;;0.96;38.55;13.3 ;18.88;6;2.49;4.72;0.35;1.53;8.30;92.4 ;16.9 ;(5.0);4.0 ;14 ;30,339;0.2;0.28;n/a;0.645 ;8.6;8.2;7.9;12.2;0.760;;0.700;0.655;;0.600;0.560;0.520;0.460;0.400;0.340;0.300;0.240;0.220;0.193;0.184;0.175;6.306;8.6;6.9;9.2;7.1;7.7;13.0;15.0;17.6;13.3;25.0;9.1;14.1;5.0;5.0;11.2;5.4;Consumer Staples;(8.9);9.9 ;76.7;0.84;0.92;0.96;0.99;1.03;4.74;10.1;0.82 ;26.0 ;(10.2);(3.6);4.7 
Armanino Foods of Distinction Inc.;AMNF;Food Processing;9;365;-;-;2.00;3.60;0.0160;0.0180;12.50;10-1-14;10-3-14;10-24-14;A24;&;0.07;60.00;144.2 ;16.67;12;0.12;n/a;2.07;8.05;n/a;n/a;n/a;n/a;n/a;0 ;64;n/a;n/a;n/a;1.255 ;8.3;16.4;12.6;10.0 ;0.052;;0.048;0.042;;0.033;0.030;0.029;0.026;0.025;0.020;0.020;0.020;0.020;0.018;0.005;0.000;0.387;8.3;14.3;27.3;10.0;4.3;10.6;6.1;22.5;0.0;0.0;0.0;11.1;260.0;0.0;26.8;65.2;Consumer Staples;(0.5);16.2 ;46.7;0.05;0.06;0.06;0.06;0.06;0.28;14.2;n/a;24.2 ;(4.3);2.1 ;7.2 
Arrow Financial Corp.;AROW;Banking;21;142;N;N;27.39;3.65;0.2451;0.2500;2.00;12-1-14;12-3-14;12-15-14;C15;Adj/Stk Div;1.00;55.56;8.2 ;15.22;12;1.80;2.21;5.21;1.73;11.60;(1.7);12.3 ;0.9 ;6.9 ;2 ;345;2.9;0.10;3.794;0.733 ;3.5;4.1;3.4;4.7 ;0.980;;0.947;0.922;;0.869;0.844;0.829;0.786;0.763;0.726;0.682;0.622;0.562;0.492;0.432;0.382;10.837;3.5;2.7;6.1;3.0;1.8;5.4;3.0;5.2;6.4;9.7;10.6;14.3;13.9;13.2;7.1;4.3;Financials;(8.2);7.1 ;49.7;0.99;1.09;1.16;1.24;1.33;5.82;21.2;0.67 ;17.4 ;(0.6);5.8 ;9.1 
Artesian Resources;ARTNA;Utility-Water;17;177;N;N;22.27;3.86;0.2119;0.2151;1.51;11-5-14;11-7-14;11-21-14;B21;&;0.86;93.52;31.2 ;24.21;12;0.92;6.05;2.84;1.60;6.70;(16.8);15.3 ;1.8 ;4.0 ;4 ;198;1.4;0.96;1.707;0.691 ;3.3;3.0;3.1;4.4 ;0.823;;0.796;0.762;;0.753;0.723;0.707;0.664;0.613;0.581;0.553;0.533;0.516;0.493;0.487;0.471;9.474;3.3;4.4;1.3;4.2;2.2;6.5;8.2;5.7;4.9;3.9;3.3;4.5;1.4;3.3;4.1;1.8;Utilities;(17.3);6.9 ;39.8;0.83;0.91;0.95;0.99;1.03;4.71;21.2;0.44 ;12.2 ;(3.8);6.5 ;3.5 
Assa Abloy AB;ASAZY;Security Hardware;5;498;-;-;26.41;1.62;0.3929;0.4290;9.18;5-8-14;5-12-14;6-2-14;May;Annual,Sweden;0.43;43.77;128.0 ;26.95;12;0.98;n/a;2.64;4.34;n/a;n/a;n/a;n/a;n/a;0 ;19,569;n/a;n/a;n/a;n/a;19.8;16.5;n/a;n/a;0.393;;0.328;0.319;;0.249;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.289;19.8;2.8;28.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;8.5;Industrials;n/a;n/a;34.9;0.40;0.42;0.43;0.44;0.46;2.15;8.1;n/a;14.1 ;(2.1);4.7 ;4.3 
Assurant Inc.;AIZ;Insurance;11;293;-;-;68.22;1.58;0.2500;0.2700;8.00;5-22-14;5-27-14;6-10-14;C10;;1.08;15.54;(36.3);9.82;12;6.95;1.47;0.50;0.93;10.30;11.1 ;0.9 ;10.9 ;6.7 ;12 ;4,870;0.9;0.22;1.119;n/a;18.5;15.1;12.2;n/a;0.960;;0.810;0.700;;0.630;0.590;0.540;0.460;0.380;0.310;0.210;0.000;0.000;0.000;0.000;0.000;5.590;18.5;15.7;11.1;6.8;9.3;17.4;21.1;22.6;47.6;0.0;0.0;0.0;0.0;0.0;12.1;12.8;Financials;4.0 ;13.8 ;67.7;1.06;1.07;1.14;1.21;1.29;5.76;8.4;0.84 ;19.4 ;(1.7);5.2 ;4.5 
AT&T Inc.;T;Telecommunications;30;89;Y;Y;34.84;5.28;0.4500;0.4600;2.22;1-8-14;1-10-14;2-3-14;B03;;1.84;56.44;(3.5);10.69;12;3.26;2.37;1.38;1.96;18.70;171.2 ;2.4 ;57.5 ;4.5 ;31 ;180,680;0.1;0.82;0.041;0.488 ;2.3;2.3;2.4;4.9;1.800;;1.760;1.720;;1.680;1.640;1.600;1.420;1.330;1.290;1.250;1.118;1.063;1.023;1.005;0.965;20.663;2.3;2.3;2.4;2.4;2.5;12.7;6.8;3.1;3.2;11.9;5.2;3.9;1.7;4.1;4.6;3.4;Telecommunications;(3.0);7.7 ;55.6;1.98;2.03;2.12;2.22;2.32;10.66;30.6;0.43 ;14.1 ;(5.8);1.2 ;2.9 
Atlantic Tele Network Inc.;ATNI;Telecommunications;17;174;-;-;67.19;1.73;0.2700;0.2900;7.41;9-26-14;9-30-14;10-10-14;A10;;1.16;49.79;44.5 ;28.84;12;2.33;9.61;3.40;1.63;48.70;37.6 ;(10.0);(4.3);3.0 ;4 ;1,070;1.6;0.00;n/a;0.852 ;8.5;7.5;9.1;10.7 ;1.020;#;0.940;0.890;;0.820;0.740;0.660;0.580;0.500;0.450;0.410;0.370;0.330;0.310;0.270;0.240;8.530;8.5;5.6;8.5;10.8;12.1;13.8;16.0;11.1;9.8;10.8;12.1;6.5;14.8;12.5;10.9;2.9;Telecommunications;(18.0);10.8 ;56.2;1.12;1.13;1.17;1.20;1.24;5.86;8.7;1.25 ;31.6 ;1.2 ;16.6 ;14.8 
Atmos Energy;ATO;Utility-Gas;30;87;N;N;53.00;2.79;0.3500;0.3700;5.71;11-21-13;11-25-13;12-9-13;C09;;1.48;53.62;20.8 ;19.20;9;2.76;2.74;1.10;1.71;12.50;19.5 ;3.6 ;4.8 ;7.0 ;9 ;5,319;0.9;0.79;0.355;1.029 ;2.5;1.8;1.7;1.7;1.420;;1.385;1.365;;1.345;1.325;1.305;1.285;1.265;1.245;1.225;1.205;1.185;1.165;1.145;1.110;18.975;2.5;1.5;1.5;1.5;1.5;1.6;1.6;1.6;1.6;1.7;1.7;1.7;1.7;3.2;1.8;0.5;Utilities;(14.7);4.5 ;53.1;1.56;1.62;1.73;1.85;1.98;8.74;16.5;0.54 ;24.7 ;(0.6);6.8 ;8.9 
Atrion Corp.;ATRI;Medical Instruments;12;258;-;-;330.01;0.91;0.6400;0.7500;17.19;9-11-14;9-15-14;9-30-14;C30;;3.00;21.75;114.1 ;23.93;12;13.79;n/a;4.69;4.31;18.40;13.0 ;0.0 ;11.0 ;n/a;0 ;644;10.8;0.00;1.574;0.669 ;14.3;15.4;17.3;25.9 ;2.400;;2.100;1.820;;1.560;1.320;1.080;0.880;0.740;0.620;0.520;0.240;0.000;0.000;0.000;0.000;13.280;14.3;15.4;16.7;18.2;22.2;22.7;18.9;19.4;19.2;116.7;0.0;0.0;0.0;0.0;20.3;28.1;Health Care;(5.7);18.2 ;55.1;2.64;2.64;2.72;2.80;2.88;13.68;4.1;0.84 ;30.7 ;(1.9);5.3 ;9.1 
Auburn National Bancorp;AUBN;Banking;13;214;N;N;23.50;3.66;0.2100;0.2150;2.38;3-6-14;3-10-14;3-25-14;C25;;0.86;43.43;(21.1);11.87;12;1.98;n/a;3.18;1.18;10.60;4.8 ;0.0 ;1.5 ;n/a;0 ;86;0.9;0.17;1.712;0.446 ;2.4;2.5;2.6;5.8 ;0.840;;0.820;0.800;;0.780;0.760;0.740;0.700;0.640;0.580;0.500;0.480;0.440;0.400;0.400;0.320;9.200;2.4;2.5;2.6;2.6;2.7;5.7;9.4;10.3;16.0;4.2;9.1;10.0;0.0;25.0;7.3;6.5;Financials;(5.6);6.2 ;42.2;0.88;0.88;0.91;0.93;0.96;4.56;19.4;(0.11);5.8 ;(14.3);(2.4);(2.5)
Autoliv Inc.;ALV;Auto Parts;5;524;-;-;91.74;2.35;0.5200;0.5400;3.85;8-18-14;8-20-14;9-4-14;C04;Sweden,US$,&;2.16;48.32;44.8 ;20.52;12;4.47;2.30;0.90;2.30;10.80;(0.2);14.1 ;17.3 ;8.9 ;19 ;8,305;8.8;0.48;0.264;0.326 ;5.8;45.4;4.6;14.0 ;2.000;;1.890;1.730;;0.650;0.210;1.600;1.540;1.360;1.170;0.770;0.540;0.440;0.440;0.440;0.440;15.220;5.8;9.2;166.2;209.5;0.0;3.9;13.2;16.2;51.9;42.6;22.7;0.0;0.0;0.0;38.7;63.3;Consumer Discretionary;(13.6);6.9 ;57.4;2.02;2.22;2.42;2.64;2.87;12.17;13.3;1.72 ;9.2 ;(14.7);(4.8);(7.2)
Automatic Data Proc.;ADP;Business Services;39;57;-;-;81.78;2.35;0.4350;0.4800;10.34;12-11-13;12-13-13;1-1-14;A01;Spin-off Q4'14;1.92;61.74;161.7 ;26.30;6;3.11;2.54;3.23;5.86;28.80;11.5 ;12.8 ;3.5 ;10.3 ;26 ;39,424;0.2;0.33;2.413;0.615 ;10.1;8.6;8.4;13.7;1.740;;1.580;1.440;;1.360;1.320;1.160;0.920;0.740;0.620;0.560;0.480;0.460;0.410;0.350;0.305;13.445;10.1;9.7;5.9;3.0;13.8;26.1;24.3;19.4;10.7;16.7;4.3;12.2;17.1;14.8;13.4;6.7;Information Tech;(15.5);10.8 ;71.9;1.91;2.11;2.32;2.55;2.80;11.69;14.3;0.85 ;31.9 ;3.0 ;11.1 ;17.8 
Avago Technologies Ltd.;AVGO;Technology-Hardware;5;537;-;-;86.25;1.48;0.2900;0.3200;10.34;9-17-14;9-19-14;9-30-14;C30;Singapore,US$,&;1.28;95.52;348.1 ;64.37;10;1.34;2.05;6.38;7.02;9.90;(2.7);37.3 ;53.1 ;31.4 ;17 ;21,813;0.2;1.78;n/a;n/a;44.3;132.5;n/a;n/a;0.880;;0.610;0.400;;0.070;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.960;44.3;52.5;471.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.6;120.7;Information Tech;n/a;n/a;40.8;0.89;0.98;1.08;1.18;1.30;5.43;6.3;0.97 ;106.6 ;(5.1);4.5 ;23.7 
Avista Corp.;AVA;Utility-Electric/Gas;12;241;N;N;35.45;3.58;0.3050;0.3175;4.10;2-19-14;2-21-14;3-14-14;C14;;1.27;62.87;8.5 ;17.55;12;2.02;3.51;1.48;1.51;14.40;40.2 ;4.5 ;6.3 ;5.0 ;7 ;2,284;0.7;1.05;1.916;1.264 ;5.2;6.9;12.1;9.6 ;1.220;;1.160;1.100;;1.000;0.810;0.690;0.595;0.570;0.545;0.515;0.490;0.480;0.480;0.480;0.480;10.615;5.2;5.5;10.0;23.5;17.4;16.0;4.4;4.6;5.8;5.1;2.1;0.0;0.0;0.0;7.1;6.9;Utilities;(1.9);15.7 ;61.1;1.34;1.40;1.47;1.55;1.62;7.39;20.8;0.64 ;36.5 ;(0.9);9.6 ;14.7 
AVX Corp.;AVX;Electronics;5;553;-;-;14.44;2.91;0.0950;0.1050;10.53;11-5-14;11-7-14;11-21-14;B21;&;0.42;50.60;(4.9);17.40;3;0.83;2.02;1.70;1.17;6.90;297.4 ;2.9 ;9.8 ;8.6 ;2 ;2,427;72.5;0.00;1.729;1.917 ;16.7;26.0;16.9;8.8 ;0.350;;0.300;0.240;;0.175;0.160;0.160;0.158;0.150;0.150;0.150;0.150;0.150;0.145;0.140;0.130;2.708;16.7;25.0;37.1;9.4;0.0;1.6;5.0;0.0;0.0;0.0;0.0;3.4;3.6;7.7;7.8;10.8;Industrials;2.5 ;19.9 ;63.6;0.39;0.40;0.43;0.47;0.51;2.19;15.1;1.29 ;23.1 ;2.0 ;8.7 ;10.3 
